IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP10	IP_PROP11	IP_PROP12	IP_PROP13	IP_PROP14	IP_PROP22	IP_PROP15	IP_PROP16	IP_PROP17	IP_PROP18	IP_PROP19	IP_PROP20	IP_PROP21	IP_PROP23	IC_GROUP0	IC_GROUP1	IC_GROUP2
147	Молоко коровье  Отборное  3,4-4,2%							text			text		500										5 суток	61-67 ккал	2,8 гр	3,4-4,2 гр			Молоко	Молоко	
148	Молоко коровье  Отборное  3,4-4,2%							text			text		500										5 суток	61-67 ккал	2,8 гр	3,4-4,2 гр			Молоко	Молоко	
149	Молоко коровье   3,2%							text			text		500										5 суток	58 ккал	2,8 гр	3,2 гр			Молоко	Молоко	
150	Молоко коровье   3,2%							text			text		500										5 суток	58 ккал	2,8 гр	3,2 гр			Молоко	Молоко	
151	Молоко коровье топленое   4%							text			text		500										5 суток	65 ккал	2,8 гр	4 гр			Молоко	Молоко	
152	Молоко козье   30-35%							text			text		500										7 суток	мжд 40%	15 гр	30-35 гр			Молоко	Молоко	
153	Сливки питьевые пастеризованные   10%							text			text		500										5 суток	120 ккал	2,6 гр	10 гр			Молоко	Сливки	
154	Кисломолочные продукты Кефир   1%							text			text		500										7 суток	55 ккал	2,8 гр	1 гр			Молоко	Кисломолочные продукты	
155	Кисломолочные продукты Кефир   1%							text			text		500										7 суток	55 ккал	2,8 гр	1 гр			Молоко	Кисломолочные продукты	
156	Кисломолочные продукты Кефир   3,2%							text			text		500										7 суток	55 ккал	2,8 гр	3,2 гр			Молоко	Кисломолочные продукты	
157	Кисломолочные продукты Кефир   3,2%							text			text		500										7 суток	55 ккал	2,8 гр	3,2 гр			Молоко	Кисломолочные продукты	
158	Кисломолочные продукты Кефир на грибках  4,6%							text			text		500																Молоко	Кисломолочные продукты	
159	Кисломолочные продукты Кефир на грибках  0,5%							text			text		500																Молоко	Кисломолочные продукты	
160	Кисломолочные продукты Ряженка    4%							text			text		500										5 суток	64 ккал	2,8 гр	4 гр			Молоко	Кисломолочные продукты	
161	Кисломолочные продукты Ряженка  термостатная  4%							text			text		500																Молоко	Кисломолочные продукты	
162	Кисломолочные продукты Простокваша    3,2%							text			text		500										5 суток	57 ккал	2,8 гр	3,2 гр			Молоко	Кисломолочные продукты	
163	Кисломолочные продукты Йогурт   0,5%							text			text		500																Молоко	Кисломолочные продукты	
164	Кисломолочные продукты Йогурт   0,5%							text			text		500																Молоко	Кисломолочные продукты	
165	Кисломолочные продукты Йогурт   10%							text			text		500																Молоко	Кисломолочные продукты	
166	Кисломолочные продукты Йогурт  турецкий 10%							text			text		500																Молоко	Кисломолочные продукты	
167	Кисломолочные продукты Йогурт   3,2%							text			text		500																Молоко	Кисломолочные продукты	
168	Кисломолочные продукты Йогурт   из козьего молока 10%							text			text		500																Молоко	Кисломолочные продукты	
169	Кисломолочные продукты Йогурт   из козьего молока 0,5%							text			text		500																Молоко	Кисломолочные продукты	
