IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP10	IP_PROP11	IP_PROP12	IP_PROP13	IP_PROP14	IP_PROP22	IP_PROP15	IP_PROP16	IP_PROP17	IP_PROP18	IP_PROP19	IP_PROP20	IP_PROP21	IP_PROP23	IC_GROUP0	IC_GROUP1	IC_GROUP2
47	Говядина  крупнокусковая Обеденная  кат. А	47	Y			/upload/iblock/74e/74ee63a31b6e04561dc7ecc69fece872.jpg		text	/upload/iblock/7b0/7b0c441017ebbcb3c01dbafc92833fba.jpg		text		500										10 суток		16 гр	6 гр					
79	Молоко коровье Топленое   4%	79	Y			/upload/iblock/42f/42f021ebd7950520d442af94308dda5a.png	Отсутствует	text	/upload/iblock/53e/53e32a706071c125c0b80c90795f5288.png		text		500								ПТП Новое	Молоко нормализованное	6 суток	65 ккал	2	8 гр	4 гр				
80	Сливки питьевые пастеризованные   10%	80	Y			/upload/iblock/151/1513e3e8c6120a6c45946010d4dc5e82.png	Отсутсвует	text	/upload/iblock/a9d/a9dbf45caaf1fe4d268356bb5fa8ce01.jpg		text		500								ООО ПТП Новое	Сливки нормализованные	5 суток	120 ккал	10 гр	2	6 гр				
81	Молоко коровье  Отборное  3,4-4,2%		N					text			text		500										5 суток	61-67 ккал	2,8 гр	3,4-4,2 гр	4,7 гр				
82	Молоко коровье  Отборное  3,4-4,2%		N					text			text		500										5 суток	61-67 ккал	2,8 гр	3,4-4,2 гр	4,7 гр				
83	Молоко коровье   3,2%		N					text			text		500										5 суток	58 ккал	2,8 гр	3,2 гр	4,7 гр				
84	Молоко коровье   3,2%		N					text			text		500										5 суток	58 ккал	2,8 гр	3,2 гр	4,7 гр				
85	Молоко коровье топленое   4%		N					text			text		500										5 суток	65 ккал	2,8 гр	4 гр	4,7 гр				
86	Молоко козье   30-35%		N					text			text		500										7 суток	мжд 40%	15 гр	30-35 гр	4 гр				
87	Сливки питьевые пастеризованные   10%		N					text			text		500										5 суток	120 ккал	2,6 гр	10 гр	4,5 гр				
88	Кисломолочные продукты Кефир   1%		N					text			text		500										7 суток	55 ккал	2,8 гр	1 гр	4 гр				
89	Кисломолочные продукты Кефир   1%		N					text			text		500										7 суток	55 ккал	2,8 гр	1 гр	4 гр				
90	Кисломолочные продукты Кефир   3,2%		N					text			text		500										7 суток	55 ккал	2,8 гр	3,2 гр	4 гр				
91	Кисломолочные продукты Кефир   3,2%		N					text			text		500										7 суток	55 ккал	2,8 гр	3,2 гр	4 гр				
92	Кисломолочные продукты Кефир на грибках  4,6%		N					text			text		500																		
93	Кисломолочные продукты Кефир на грибках  0,5%		N					text			text		500																		
94	Кисломолочные продукты Ряженка    4%		N					text			text		500										5 суток	64 ккал	2,8 гр	4 гр	4,2 гр				
95	Кисломолочные продукты Ряженка  термостатная  4%		N					text			text		500																		
96	Кисломолочные продукты Простокваша    3,2%		N					text			text		500										5 суток	57 ккал	2,8 гр	3,2 гр	4,2				
97	Кисломолочные продукты Йогурт   0,5%		N					text			text		500																		
98	Кисломолочные продукты Йогурт   0,5%		N					text			text		500																		
99	Кисломолочные продукты Йогурт   10%		N					text			text		500																		
100	Кисломолочные продукты Йогурт  турецкий 10%		N					text			text		500																		
101	Кисломолочные продукты Йогурт   3,2%		N					text			text		500																		
102	Кисломолочные продукты Йогурт   из козьего молока 10%		N					text			text		500																		
103	Кисломолочные продукты Йогурт   из козьего молока 0,5%		N					text			text		500																		
104	Сметана    25%		N					text			text		500										7 суток	247 ккал	2,3 гр	25 гр	3,1				
105	Сметана    20%		N					text			text		500										7 суток	204 ккал	2,5 гр	20 гр	3,4				
106	Сметана    45%		N					text			text		500																		
107	Сметана   из козьего молока 		N					text			text		500																		
108	Творог  обезжиренный   1,8%		N					text			text		500										5 суток	101 ккал	18 гр	1,8 гр	3,3 гр				
109	Творог    9%		N					text			text		500										5 суток	157 ккал	16 гр	9 гр	3 гр				
110	Творог    18%		N					text			text		500										5 суток	229 ккал	14 гр	18 гр	2, 8 гр				
111	Творог   из козьего молока 15-18%		N					text			text		500										7 суток	229 ккал	14 гр	15-18 гр	2,8 гр				
112	Масса творожная  с сахаром и изюмом  17%		N					text			text		500										3 суток	228 ккал	9,3 гр	17 гр	17,9 гр				
113	Запеканка творожная  с изюмом  		N					text			text		500																		
114	Запеканка творожная  с курагой  		N					text			text		500																		
115	Масло сливочное   традиционное 1 сорт 82,5%		N					text			text		500										35 суток	748 ккал	0,6 гр	82,5 гр					
116	Сыр мягкий   Адыгейский   45%		N					text			text		500																		
117	Сыр   Моцарела 		N					text			text		500																		
118	Сыр   Рикотта 		N					text			text		500																		
119	Сыр   Брынза 		N					text			text		500																		
120	Сыр   из козьего молока Рикотта 10-15%		N					text			text		500										5 суток	мжд 35%	10 гр	10-15 гр	3 г				
121	Сыр   из козьего молока Камамбер 10-15%		N					text			text		500										7 суток	мжд 45%	15 гр	10-15 гр	0,1 г 				
122	Сыр   из козьего молока Шевре 20-25%		N					text			text		500										7 суток	мжд 20%	6 гр	20-25 гр	3 г				
123	Сыр   из козьего молока Бургос 20-25%		N					text			text		500										5 суток	мжд 40%	15 гр	20-25 гр	4 г				
124	Сыр   из козьего молока молодой пресованный 30-35%		N					text			text		500										7 суток	мжд 45%	15 гр	30-35 гр	4 г				
